elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000739, 10.000739, 2257, 138187, 2316990.2, 1926521, 6597634, 6728735, 6780211, 6780211, 0
146.052176, 136.051437, 9, 195588, 4510239.2, 3086405, 14092244, 15868914, 16150947, 16150947, 0
150.001749, 3.949573, 54, 128741, 5177599.2, 3264932, 14807969, 15868914, 16150947, 16150947, 0
160.001745, 9.999996, 124, 128741, 5296789.8, 4001047, 13648598, 14214924, 14217100, 14217100, 0
170.001736, 9.999991, 130, 196732, 5287673.4, 4528244, 10968003, 12125769, 12455919, 12455919, 0
180.001739, 10.000003, 114, 172628, 5189666.4, 4136040, 11732484, 12040101, 12049331, 12049331, 0
190.001717, 9.999978, 120, 217196, 4888368.3, 3770676, 11703133, 12399405, 14950246, 14950246, 0
200.001718, 10.000001, 108, 172618, 5142381.0, 4378494, 15439605, 18331037, 18700516, 18700516, 0
210.001735, 10.000017, 119, 108382, 5379361.3, 3588950, 18880998, 19708987, 19943454, 19943454, 0
220.001741, 10.000006, 110, 170456, 5841398.1, 4435461, 18220886, 19050464, 19951413, 19951413, 0
230.001738, 9.999997, 110, 149824, 6095936.2, 4550468, 17207346, 18195880, 18377464, 18377464, 0
240.001737, 9.999999, 102, 191084, 5664551.9, 3652588, 15509462, 15962768, 16022556, 16022556, 0
250.001744, 10.000007, 110, 184319, 6577327.6, 4195902, 14200062, 15439646, 15653185, 15653185, 0
260.001745, 10.000001, 99, 296399, 6138548.3, 4496848, 11656144, 12085913, 12366913, 12366913, 0
270.001739, 9.999994, 100, 229152, 6578939.2, 6312200, 14086296, 14691005, 14745407, 14745407, 0
280.001741, 10.000002, 103, 340382, 6377031.0, 6373674, 13049104, 13799681, 13895330, 13895330, 0
290.002062, 10.000321, 96, 330683, 6403156.2, 6814291, 11516558, 11919650, 11929480, 11929480, 0
300.000924, 9.998862, 104, 203646, 5792945.8, 4955903, 12703085, 13395359, 13959518, 13959518, 0
310.002054, 10.00113, 93, 194141, 6120274.5, 4279440, 14431921, 16469215, 17165909, 17165909, 0
320.001008, 9.998954, 93, 312150, 7085407.3, 6303560, 16741939, 17319285, 17362623, 17362623, 0
330.001985, 10.000977, 96, 253769, 6959599.3, 5494646, 14250497, 15045587, 16242237, 16242237, 0
340.002038, 10.000053, 92, 224002, 6289921.2, 6148975, 13000675, 15231862, 15332045, 15332045, 0
350.000931, 9.998893, 92, 243924, 7688300.8, 9195568, 16271677, 17690917, 17739122, 17739122, 0
360.001738, 10.000807, 93, 245112, 6229730.4, 6015997, 14904757, 15665162, 16321903, 16321903, 0
370.001956, 10.000218, 88, 203952, 6650786.0, 5424813, 18367337, 19885446, 20811041, 20811041, 0
380.002, 10.000044, 91, 228672, 7442032.2, 5724730, 20277042, 20543216, 21197516, 21197516, 0
390.001931, 9.999931, 86, 210563, 7079809.1, 4571113, 18756947, 19616502, 19772885, 19772885, 0
400.001734, 9.999803, 85, 230495, 7292126.9, 4839623, 18431126, 19075282, 19323986, 19323986, 0
410.001909, 10.000175, 94, 194377, 7042582.5, 4173379, 20515248, 21112731, 21468185, 21468185, 0
420.001942, 10.000033, 83, 255528, 7219492.4, 4508880, 21874782, 24120788, 24491047, 24491047, 0
430.001893, 9.999951, 88, 245053, 8672103.7, 4568314, 22477675, 23864716, 24120788, 24120788, 0
440.001877, 9.999984, 80, 234346, 7947920.0, 5848609, 18311360, 20378179, 20432575, 20432575, 0
450.001888, 10.000011, 80, 266479, 7899649.7, 6952486, 18102824, 19041280, 19317235, 19317235, 0
460.001733, 9.999845, 85, 167946, 8128690.5, 9581108, 15623336, 16461181, 16484475, 16484475, 0
470.001835, 10.000102, 85, 228356, 7492511.3, 6346839, 13456166, 13706612, 15045507, 15045507, 0
480.516934, 10.515099, 84, 93627, 8041228.9, 7484163, 15439839, 15921127, 16633945, 16633945, 0
490.001839, 9.484905, 77, 248324, 8109135.3, 8726134, 14811467, 15921127, 16633945, 16633945, 0
500.001855, 10.000016, 84, 552206, 7787293.1, 7472760, 14039117, 15209137, 16428159, 16428159, 0
510.001753, 9.999898, 74, 387144, 8503057.5, 8528591, 14136066, 14452841, 14939102, 14939102, 0
520.00183, 10.000077, 83, 332191, 7691958.0, 8397151, 14672354, 14980265, 15367606, 15367606, 0
530.001807, 9.999977, 81, 342489, 7837884.7, 6208891, 15591819, 16054357, 16306106, 16306106, 0
540.810151, 10.808344, 84, 255887, 6640706.2, 4613240, 15418936, 16524012, 16758801, 16758801, 0
551.307085, 10.496934, 85, 81929, 8481932.3, 7347938, 18805018, 19324200, 19443461, 19443461, 0
562.963475, 11.65639, 85, 231828, 8723044.6, 7279817, 18499304, 18622073, 18780843, 18780843, 0
573.938488, 10.975013, 81, 224144, 9096031.6, 6974546, 18426145, 19047076, 19716321, 19716321, 0
586.121601, 12.183113, 84, 318976, 9104458.4, 6526291, 18900887, 19568303, 19864100, 19864100, 0
598.415641, 12.29404, 97, 310935, 8013266.1, 5461881, 19150422, 19987715, 20448153, 20448153, 0
609.246943, 10.831302, 81, 347236, 9259753.7, 9751468, 21456557, 21675562, 21716119, 21716119, 0
622.26461, 13.017667, 87, 428378, 8796949.1, 6379650, 21402172, 21721099, 23183729, 23183729, 0
633.796552, 11.531942, 76, 381744, 9622619.0, 8913580, 21560779, 22276788, 22295379, 22295379, 0
652.048722, 18.25217, 128, 254874, 8374470.9, 6627178, 20560470, 26422809, 27084402, 27084402, 0
670.068981, 18.020259, 122, 306083, 8999081.6, 7879019, 31473797, 31682755, 33229395, 33229395, 0
691.035485, 20.966504, 143, 163610, 9096969.3, 4348676, 30136262, 32508052, 32800277, 32800277, 0
710.923033, 19.887548, 127, 374927, 8752383.6, 3421522, 35263929, 39134974, 39476021, 39476021, 0
726.682641, 15.759608, 106, 256842, 11128336.4, 5953857, 37003272, 37388659, 38494168, 38494168, 0
742.304142, 15.621501, 107, 185313, 9280758.2, 6598819, 34016382, 35512854, 35652523, 35652523, 0
758.272381, 15.968239, 112, 371639, 8375289.5, 5155510, 32549236, 33536895, 33603106, 33603106, 0
772.467564, 14.195183, 107, 241493, 8838503.4, 4820734, 34263833, 37008285, 37048510, 37048510, 0
785.91577, 13.448206, 83, 210423, 10413710.2, 3297231, 34724813, 34884305, 36206723, 36206723, 0
798.508645, 12.592875, 91, 260251, 10527203.9, 5159457, 24244602, 26710114, 27072594, 27072594, 0
813.752648, 15.244003, 90, 359544, 9100634.0, 4012668, 23637689, 24143790, 24639773, 24639773, 0
826.515993, 12.763345, 87, 348282, 10361062.0, 6359640, 22824502, 23557748, 24451102, 24451102, 0
843.495966, 16.979973, 107, 319969, 8926191.1, 6711627, 22961177, 24096691, 24304208, 24304208, 0
866.293539, 22.797573, 138, 264244, 9639337.0, 5763712, 29663290, 31698646, 33175356, 33175356, 0
886.03679, 19.743251, 125, 359199, 11660118.3, 6900332, 33464932, 34156453, 34317673, 34317673, 0
901.278797, 15.242007, 96, 304813, 10950586.0, 8633829, 25949315, 26062007, 27577938, 27577938, 0
912.863559, 11.584762, 72, 437221, 10656280.0, 7831596, 23041565, 24152401, 24795651, 24795651, 0
926.88958, 14.026021, 94, 257227, 9128846.9, 7139515, 21419789, 22151219, 22157705, 22157705, 0
941.231025, 14.341445, 93, 288461, 9015212.1, 8099001, 21572439, 22779837, 23281756, 23281756, 0
952.262958, 11.031933, 67, 334479, 9872420.0, 9906191, 22095252, 23805068, 24271260, 24271260, 0
963.130349, 10.867391, 72, 196022, 10381280.6, 9373830, 24019088, 24431224, 24935280, 24935280, 0
972.473777, 9.343428, 55, 487471, 10257200.8, 9202233, 20635557, 21360026, 21685938, 21685938, 0
982.779865, 10.306088, 61, 122983, 9927308.5, 8405883, 20762274, 22004217, 22878420, 22878420, 0
992.100622, 9.320757, 56, 1148043, 9887982.7, 6968040, 22878420, 23239775, 23299784, 23299784, 0
1001.962983, 9.862361, 58, 371487, 9660288.8, 8738351, 22089528, 22307296, 22819988, 22819988, 0
1010.001742, 8.038759, 52, 559544, 9017934.1, 8243399, 20347902, 20741520, 22307296, 22307296, 0
1020.595253, 10.593511, 69, 353894, 8707920.1, 8078773, 19013554, 20239136, 20343771, 20343771, 0
1032.579116, 11.983863, 69, 362195, 9372479.8, 8294769, 20960657, 21246001, 21387746, 21387746, 0
1040.001741, 7.422625, 51, 351520, 9344010.9, 6384086, 21370422, 22087505, 22779830, 22779830, 0
1050.00174, 9.999999, 61, 351520, 8643067.3, 6340137, 21435845, 21652694, 21824030, 21824030, 0
1060.001741, 10.000001, 65, 316947, 7111530.8, 5438206, 20794960, 22268068, 22504584, 22504584, 0
