elapsed, window, total, successful, failed
10.000739, 10.000739, 2257, 2257, 0
146.052176, 136.051437, 9, 9, 0
150.001749, 3.949573, 54, 54, 0
160.001745, 9.999996, 124, 124, 0
170.001736, 9.999991, 130, 130, 0
180.001739, 10.000003, 114, 114, 0
190.001717, 9.999978, 120, 120, 0
200.001718, 10.000001, 108, 108, 0
210.001735, 10.000017, 119, 119, 0
220.001741, 10.000006, 110, 110, 0
230.001738, 9.999997, 110, 110, 0
240.001737, 9.999999, 102, 102, 0
250.001744, 10.000007, 110, 110, 0
260.001745, 10.000001, 99, 99, 0
270.001739, 9.999994, 100, 100, 0
280.001741, 10.000002, 103, 103, 0
290.002062, 10.000321, 96, 96, 0
300.000924, 9.998862, 104, 104, 0
310.002054, 10.00113, 93, 93, 0
320.001008, 9.998954, 93, 93, 0
330.001985, 10.000977, 96, 96, 0
340.002038, 10.000053, 92, 92, 0
350.000931, 9.998893, 92, 92, 0
360.001738, 10.000807, 93, 93, 0
370.001956, 10.000218, 88, 88, 0
380.002, 10.000044, 91, 91, 0
390.001931, 9.999931, 86, 86, 0
400.001734, 9.999803, 85, 85, 0
410.001909, 10.000175, 94, 94, 0
420.001942, 10.000033, 83, 83, 0
430.001893, 9.999951, 88, 88, 0
440.001877, 9.999984, 80, 80, 0
450.001888, 10.000011, 80, 80, 0
460.001733, 9.999845, 85, 85, 0
470.001835, 10.000102, 85, 85, 0
480.516934, 10.515099, 84, 84, 0
490.001839, 9.484905, 77, 77, 0
500.001855, 10.000016, 84, 84, 0
510.001753, 9.999898, 74, 74, 0
520.00183, 10.000077, 83, 83, 0
530.001807, 9.999977, 81, 81, 0
540.810151, 10.808344, 84, 84, 0
551.307085, 10.496934, 85, 85, 0
562.963475, 11.65639, 85, 85, 0
573.938488, 10.975013, 81, 81, 0
586.121601, 12.183113, 84, 84, 0
598.415641, 12.29404, 97, 97, 0
609.246943, 10.831302, 81, 81, 0
622.26461, 13.017667, 87, 87, 0
633.796552, 11.531942, 76, 76, 0
652.048722, 18.25217, 128, 128, 0
670.068981, 18.020259, 122, 122, 0
691.035485, 20.966504, 143, 143, 0
710.923033, 19.887548, 127, 127, 0
726.682641, 15.759608, 106, 106, 0
742.304142, 15.621501, 107, 107, 0
758.272381, 15.968239, 112, 112, 0
772.467564, 14.195183, 107, 107, 0
785.91577, 13.448206, 83, 83, 0
798.508645, 12.592875, 91, 91, 0
813.752648, 15.244003, 90, 90, 0
826.515993, 12.763345, 87, 87, 0
843.495966, 16.979973, 107, 107, 0
866.293539, 22.797573, 138, 138, 0
886.03679, 19.743251, 125, 125, 0
901.278797, 15.242007, 96, 96, 0
912.863559, 11.584762, 72, 72, 0
926.88958, 14.026021, 94, 94, 0
941.231025, 14.341445, 93, 93, 0
952.262958, 11.031933, 67, 67, 0
963.130349, 10.867391, 72, 72, 0
972.473777, 9.343428, 55, 55, 0
982.779865, 10.306088, 61, 61, 0
992.100622, 9.320757, 56, 56, 0
1001.962983, 9.862361, 58, 58, 0
1010.001742, 8.038759, 52, 52, 0
1020.595253, 10.593511, 69, 69, 0
1032.579116, 11.983863, 69, 69, 0
1040.001741, 7.422625, 51, 51, 0
1050.00174, 9.999999, 61, 61, 0
1060.001741, 10.000001, 65, 65, 0
1070.001736, 9.999995, 55, 55, 0
1080.00174, 10.000004, 66, 66, 0
1090.00172, 9.99998, 61, 61, 0
1100.001738, 10.000018, 66, 66, 0
1110.001741, 10.000003, 61, 61, 0
1120.001718, 9.999977, 59, 59, 0
1130.001739, 10.000021, 58, 58, 0
1140.001739, 10.0, 56, 56, 0
1143.891603, 3.889864, 38, 38, 0
