elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000627, 10.000627, 2530, 67721, 1110178.2, 1087750, 1773159, 2064073, 2165374, 2206758, 0
46.173366, 36.172739, 81, 85133, 1111646.6, 757367, 2493320, 2767642, 3023375, 3108096, 0
50.001668, 3.828302, 214, 85086, 1112288.7, 716801, 2509317, 2636510, 2730065, 2790205, 0
60.001608, 9.99994, 572, 68256, 1131492.8, 905784, 2500562, 2762476, 2805248, 2830647, 0
70.001654, 10.000046, 572, 68051, 1124679.3, 934814, 2697688, 2956343, 3034221, 3042960, 0
80.00164, 9.999986, 576, 68111, 1106070.5, 777909, 2935769, 3094648, 3281010, 3349708, 0
90.001651, 10.000011, 577, 85226, 1117910.7, 887508, 3438866, 3566417, 3600906, 3617472, 0
100.001657, 10.000006, 572, 85173, 1134650.3, 1041052, 2935641, 3335540, 3455514, 3472081, 0
110.001632, 9.999975, 570, 85356, 1105191.3, 955865, 2851187, 2987748, 3113380, 3198191, 0
120.001641, 10.000009, 570, 85265, 1132601.2, 1010658, 2968484, 3352639, 3404557, 3438482, 0
130.001654, 10.000013, 573, 85527, 1114171.8, 979475, 2712445, 2907081, 3001690, 3043123, 0
140.001615, 9.999961, 580, 68228, 1088548.1, 749984, 3539217, 3919955, 4040010, 4091106, 0
150.001622, 10.000007, 579, 68430, 1108674.3, 774577, 4088248, 4328046, 4422439, 4461633, 0
160.001611, 9.999989, 574, 68257, 1077541.4, 716831, 4095313, 4274568, 4308963, 4309072, 0
170.001615, 10.000004, 595, 67974, 836382.4, 501197, 3891071, 4136946, 4188017, 4188553, 0
174.341124, 4.339509, 265, 21612, 589929.9, 221216, 3239918, 3891071, 4136470, 4187744, 0
