elapsed, window, total, successful, failed
10.000627, 10.000627, 2530, 2530, 0
46.173366, 36.172739, 81, 81, 0
50.001668, 3.828302, 214, 214, 0
60.001608, 9.99994, 572, 572, 0
70.001654, 10.000046, 572, 572, 0
80.00164, 9.999986, 576, 576, 0
90.001651, 10.000011, 577, 577, 0
100.001657, 10.000006, 572, 572, 0
110.001632, 9.999975, 570, 570, 0
120.001641, 10.000009, 570, 570, 0
130.001654, 10.000013, 573, 573, 0
140.001615, 9.999961, 580, 580, 0
150.001622, 10.000007, 579, 579, 0
160.001611, 9.999989, 574, 574, 0
170.001615, 10.000004, 595, 595, 0
174.341124, 4.339509, 265, 265, 0
