datetime	delete	offset	cap	key1	key2
2014/9/18 3:47	 	1118589	796KB	1	1
2014/9/18 3:47	 	5106740	496KB	3	3
2014/9/18 3:47	 	37530004	116KB	26	26
2014/9/18 3:47	 	43233936	33KB	29	29
2014/9/18 3:47	 	58511643	403KB	40	40
2014/9/18 3:47	 	86002652	1000KB	53	53
2014/9/18 3:47	 	117025273	201KB	65	65
2014/9/18 3:47	 	118260930	8KB	68	68
2014/9/18 3:47	 	151971841	6KB	87	87
2014/9/18 3:47	 	167600590	397KB	93	93
2014/9/18 3:47	 	189006258	58KB	104	104
2014/9/18 3:47	 	243902286	49KB	134	134
2014/9/18 3:47	 	291259940	837KB	154	154
2014/9/18 3:47	 	295637473	1157KB	155	155
2014/9/18 3:47	 	309843406	1147KB	163	163
2014/9/18 3:47	 	316720158	95KB	165	165
2014/9/18 3:47	 	348449347	1KB	180	180
2014/9/18 3:47	 	356616957	1328KB	183	183
2014/9/18 3:47	 	361260458	1KB	186	186
2014/9/18 3:47	 	366668057	1323KB	188	188
2014/9/18 3:47	 	376057902	5KB	197	197
2014/9/18 3:47	 	387247608	231KB	206	206
2014/9/18 3:47	 	414991462	59KB	218	218
2014/9/18 3:47	 	418242031	70KB	220	220
2014/9/18 3:47	 	421819685	8KB	222	222
2014/9/18 3:47	 	428022272	327KB	226	226
2014/9/18 3:47	 	438710863	3KB	237	237
2014/9/18 3:47	 	464387622	44KB	252	252
2014/9/18 3:47	 	478608001	9KB	259	259
2014/9/18 3:47	 	487708327	718KB	265	265
2014/9/18 3:47	 	508927604	1227KB	276	276
2014/9/18 3:47	 	586740816	223KB	317	317
2014/9/18 3:47	 	603094536	78KB	329	329
2014/9/18 3:47	 	608022586	3KB	332	332
2014/9/18 3:47	 	621696810	35KB	337	337
2014/9/18 3:47	 	644758462	3KB	356	356
2014/9/18 3:47	 	657441796	493KB	362	362
2014/9/18 3:47	 	666648533	9KB	368	368
2014/9/18 3:47	 	711681077	5KB	387	387
2014/9/18 3:47	 	747303435	30KB	399	399
2014/9/18 3:47	 	752069783	9KB	402	402
2014/9/18 3:47	 	760992977	5KB	406	406
2014/9/18 3:47	 	764919807	211KB	409	409
2014/9/18 3:47	 	780711208	18KB	421	421
2014/9/18 3:47	 	783564522	1079KB	423	423
2014/9/18 3:47	 	850394803	24KB	454	454
2014/9/18 3:47	 	881060795	32KB	468	468
2014/9/18 3:47	 	885831759	381KB	470	470
2014/9/18 3:47	 	898641180	504KB	473	473
2014/9/18 3:47	 	915364188	9KB	484	484
2014/9/18 3:47	 	941688124	469KB	501	501
2014/9/18 3:47	 	966740367	40KB	512	512
2014/9/18 3:47	 	983893946	1008KB	520	520
2014/9/18 3:47	 	1008941139	320KB	536	536
2014/9/18 3:47	 	1015684998	575KB	539	539
2014/9/18 3:47	 	1024296790	35KB	544	544
2014/9/18 3:47	 	1047355094	2KB	553	553
2014/9/18 3:47	 	1082492883	752KB	573	573
2014/9/18 3:47	 	1093190402	5KB	580	580
2014/9/18 3:47	 	1106784804	574KB	589	589
2014/9/18 3:47	 	1123091860	4KB	597	597
2014/9/18 3:47	 	1146015508	187KB	616	616
2014/9/18 3:47	 	1164380555	174KB	628	628
2014/9/18 3:47	 	1167392162	4KB	632	632
2014/9/18 3:47	 	1220548941	173KB	663	663
2014/9/18 3:47	 	1265605675	110KB	688	688
2014/9/18 3:47	 	1274736180	77KB	696	696
2014/9/18 3:47	 	1301655163	7KB	712	712
2014/9/18 3:47	 	1325417026	11KB	729	729
2014/9/18 3:47	 	1371605031	240KB	753	753
2014/9/18 3:47	 	1390009776	1015KB	761	761
2014/9/18 3:47	 	1409352408	38KB	766	766
