elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001824, 10.001824, 38, 6089, 23347.9, 11836, 36343, 312777, 312777, 312777, 0
20.001378, 9.999554, 43, 5844, 13567.2, 12859, 27204, 28157, 28157, 28157, 0
30.002058, 10.00068, 40, 5479, 14411.2, 11720, 27919, 31402, 31402, 31402, 0
40.001568, 9.99951, 47, 5364, 12416.5, 11734, 21078, 21822, 21822, 21822, 0
50.001566, 9.999998, 63, 4127, 12097.5, 11576, 18213, 28244, 36288, 36288, 0
60.005903, 10.004337, 64, 6591, 12811.2, 12012, 21316, 25997, 30068, 30068, 0
70.002206, 9.996303, 67, 5344, 11905.3, 11188, 19800, 21944, 24048, 24048, 0
80.003912, 10.001706, 52, 5662, 13687.2, 12111, 26673, 27988, 32593, 32593, 0
90.003204, 9.999292, 38, 5674, 11590.0, 10453, 18999, 27973, 27973, 27973, 0
100.00164, 9.998436, 58, 5689, 11013.8, 9886, 17999, 21846, 24181, 24181, 0
110.002397, 10.000757, 41, 6523, 14819.3, 13106, 26627, 36225, 36225, 36225, 0
120.002828, 10.000431, 59, 5572, 14789.5, 12418, 30157, 31749, 60518, 60518, 0
130.001366, 9.998538, 56, 4842, 13566.5, 12241, 24441, 27733, 29907, 29907, 0
140.006176, 10.00481, 49, 4889, 13109.2, 10700, 21782, 39155, 39252, 39252, 0
150.001259, 9.995083, 58, 4889, 12136.3, 10461, 22945, 24329, 30623, 30623, 0
160.001981, 10.000722, 36, 4695, 13058.5, 12683, 20619, 22985, 22985, 22985, 0
170.002935, 10.000954, 50, 6105, 13222.9, 12207, 21896, 27357, 27520, 27520, 0
180.001692, 9.998757, 48, 4933, 12436.1, 11112, 20879, 21264, 21264, 21264, 0
190.001673, 9.999981, 65, 6116, 12688.4, 12249, 24134, 24891, 28873, 28873, 0
200.001686, 10.000013, 58, 5014, 13195.8, 11982, 24891, 28968, 49297, 49297, 0
210.001267, 9.999581, 41, 6596, 14856.9, 13323, 24242, 49297, 49297, 49297, 0
220.002515, 10.001248, 31, 8222, 14492.2, 13052, 23589, 30105, 30105, 30105, 0
230.002442, 9.999927, 49, 7076, 16060.2, 14768, 26930, 38691, 38691, 38691, 0
240.00225, 9.999808, 54, 7777, 16417.4, 14388, 25333, 31949, 34497, 34497, 0
250.004536, 10.002286, 50, 8271, 15377.6, 14719, 23649, 26254, 31299, 31299, 0
260.004731, 10.000195, 37, 6713, 14581.6, 13548, 21925, 24428, 24428, 24428, 0
270.001331, 9.9966, 55, 5907, 14613.1, 13369, 24718, 32436, 34265, 34265, 0
280.003549, 10.002218, 44, 8268, 14910.3, 13374, 23931, 33918, 33918, 33918, 0
290.002027, 9.998478, 42, 6939, 14525.9, 14009, 23587, 28424, 28424, 28424, 0
300.004593, 10.002566, 56, 6179, 14411.5, 12827, 24726, 34313, 35362, 35362, 0
310.003212, 9.998619, 44, 6823, 14224.5, 12244, 34194, 41540, 41540, 41540, 0
320.001877, 9.998665, 35, 6353, 13790.7, 12840, 23226, 30358, 30358, 30358, 0
330.002077, 10.0002, 50, 8825, 16690.8, 13837, 27912, 36134, 43820, 43820, 0
340.004187, 10.00211, 39, 7662, 14873.6, 13486, 23062, 27466, 27466, 27466, 0
350.00232, 9.998133, 42, 6444, 14414.4, 13237, 25857, 32825, 32825, 32825, 0
360.002163, 9.999843, 47, 6954, 14040.1, 12915, 21635, 32185, 32185, 32185, 0
370.001859, 9.999696, 42, 7488, 15027.4, 14366, 23918, 32185, 32185, 32185, 0
380.001451, 9.999592, 51, 6048, 13112.3, 11810, 20451, 21791, 24143, 24143, 0
390.001715, 10.000264, 51, 5741, 15077.0, 14030, 25340, 27319, 31740, 31740, 0
400.002842, 10.001127, 58, 7066, 14411.9, 13076, 24481, 25618, 27319, 27319, 0
410.001447, 9.998605, 47, 8091, 14752.4, 13268, 26272, 30696, 30696, 30696, 0
420.001259, 9.999812, 52, 6360, 13805.6, 12368, 24012, 24902, 34314, 34314, 0
430.001377, 10.000118, 39, 6360, 14687.3, 13106, 27903, 40309, 40309, 40309, 0
440.001904, 10.000527, 45, 6659, 14070.7, 12493, 24397, 44322, 44322, 44322, 0
450.001548, 9.999644, 44, 7753, 14333.2, 12981, 23311, 25034, 25034, 25034, 0
