elapsed, window, total, successful, failed
10.000917, 10.000917, 459, 459, 0
20.001917, 10.001, 400, 400, 0
30.001916, 9.999999, 368, 368, 0
40.001894, 9.999978, 335, 335, 0
50.001905, 10.000011, 315, 315, 0
60.001903, 9.999998, 291, 291, 0
70.001906, 10.000003, 303, 303, 0
80.001877, 9.999971, 262, 262, 0
90.001915, 10.000038, 251, 251, 0
100.001893, 9.999978, 240, 240, 0
110.001903, 10.00001, 221, 221, 0
120.001901, 9.999998, 238, 238, 0
130.001882, 9.999981, 222, 222, 0
140.001913, 10.000031, 221, 221, 0
150.001908, 9.999995, 203, 203, 0
160.001905, 9.999997, 195, 195, 0
170.001901, 9.999996, 191, 191, 0
180.001903, 10.000002, 189, 189, 0
190.001866, 9.999963, 186, 186, 0
200.001907, 10.000041, 176, 176, 0
210.001877, 9.99997, 165, 165, 0
220.001902, 10.000025, 181, 181, 0
230.0019, 9.999998, 176, 176, 0
240.001899, 9.999999, 153, 153, 0
250.001875, 9.999976, 173, 173, 0
260.001989, 10.000114, 148, 148, 0
270.00188, 9.999891, 163, 163, 0
280.001887, 10.000007, 150, 150, 0
290.001939, 10.000052, 138, 138, 0
300.001905, 9.999966, 162, 162, 0
310.001911, 10.000006, 142, 142, 0
320.001915, 10.000004, 138, 138, 0
330.001911, 9.999996, 134, 134, 0
340.001914, 10.000003, 151, 151, 0
350.001887, 9.999973, 140, 140, 0
360.001908, 10.000021, 138, 138, 0
370.001904, 9.999996, 134, 134, 0
380.001909, 10.000005, 131, 131, 0
390.001906, 9.999997, 129, 129, 0
400.001907, 10.000001, 130, 130, 0
410.001913, 10.000006, 128, 128, 0
420.001903, 9.99999, 125, 125, 0
430.001907, 10.000004, 125, 125, 0
440.001901, 9.999994, 124, 124, 0
450.001905, 10.000004, 131, 131, 0
460.001882, 9.999977, 123, 123, 0
470.001908, 10.000026, 124, 124, 0
480.001903, 9.999995, 121, 121, 0
490.001923, 10.00002, 121, 121, 0
500.001903, 9.99998, 108, 108, 0
510.001916, 10.000013, 117, 117, 0
520.001909, 9.999993, 121, 121, 0
530.001909, 10.0, 117, 117, 0
540.001893, 9.999984, 115, 115, 0
544.777616, 4.775723, 58, 58, 0
