elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000917, 10.000917, 459, 14946, 1305478.5, 1409230, 1480406, 1488078, 1493225, 1493225, 0
20.001917, 10.001, 400, 1438545, 1566150.3, 1580622, 1678556, 1685157, 1686517, 1686517, 0
30.001916, 9.999999, 368, 1611858, 1721812.6, 1717885, 1794476, 1797100, 1805784, 1805784, 0
40.001894, 9.999978, 335, 1771016, 1888599.0, 1879609, 1957812, 1970527, 1973345, 1973345, 0
50.001905, 10.000011, 315, 1920349, 2011106.5, 1991673, 2105906, 2115048, 2118601, 2118601, 0
60.001903, 9.999998, 291, 2008310, 2100546.1, 2087128, 2240653, 2257326, 2271486, 2271486, 0
70.001906, 10.000003, 303, 2074385, 2181440.4, 2197383, 2243283, 2261135, 2271486, 2271486, 0
80.001877, 9.999971, 262, 2207937, 2393202.7, 2412937, 2504540, 2523112, 2528595, 2528595, 0
90.001915, 10.000038, 251, 2318976, 2520242.9, 2508896, 2645769, 2657543, 2660195, 2660195, 0
100.001893, 9.999978, 240, 2609752, 2689234.7, 2689585, 2761630, 2765191, 2769761, 2769761, 0
110.001903, 10.00001, 221, 2642600, 2749937.7, 2756603, 2822056, 2825945, 2834021, 2834021, 0
120.001901, 9.999998, 238, 2728193, 2813971.5, 2822004, 2857571, 2867180, 2867998, 2867998, 0
130.001882, 9.999981, 222, 2606049, 2772729.1, 2796171, 2861268, 2875079, 2877763, 2877763, 0
140.001913, 10.000031, 221, 2834397, 2969704.4, 2960985, 3065541, 3071382, 3073524, 3073524, 0
150.001908, 9.999995, 203, 2974249, 3090634.5, 3103915, 3198560, 3222048, 3228521, 3228521, 0
160.001905, 9.999997, 195, 3085842, 3212500.0, 3189557, 3372455, 3397270, 3400966, 3400966, 0
170.001901, 9.999996, 191, 3270712, 3363944.5, 3339334, 3471460, 3482868, 3487838, 3487838, 0
180.001903, 10.000002, 189, 3301479, 3418024.7, 3431853, 3487838, 3497074, 3506599, 3506599, 0
190.001866, 9.999963, 186, 3278347, 3438826.7, 3456840, 3547901, 3564493, 3575060, 3575060, 0
200.001907, 10.000041, 176, 3492886, 3628232.9, 3628209, 3702788, 3713637, 3721187, 3721187, 0
210.001877, 9.99997, 165, 3483083, 3672930.3, 3667328, 3773099, 3785149, 3788641, 3788641, 0
220.001902, 10.000025, 181, 3438550, 3619525.4, 3571463, 3791218, 3794643, 3796758, 3796758, 0
230.0019, 9.999998, 176, 3601718, 3702102.1, 3702484, 3765458, 3802998, 3827287, 3827287, 0
240.001899, 9.999999, 153, 3725952, 3890552.8, 3888286, 4031945, 4044578, 4047712, 4047712, 0
250.001875, 9.999976, 173, 3824047, 3931521.4, 3892649, 4070931, 4072854, 4074109, 4074109, 0
260.001989, 10.000114, 148, 3889125, 4033827.6, 4042027, 4083937, 4091693, 4094134, 4094134, 0
270.00188, 9.999891, 163, 3889125, 4145615.5, 4192674, 4281620, 4302898, 4317852, 4317852, 0
280.001887, 10.000007, 150, 4015266, 4166516.1, 4133280, 4301891, 4308090, 4317852, 4317852, 0
290.001939, 10.000052, 138, 4002374, 4272061.0, 4312903, 4439605, 4471154, 4479809, 4479809, 0
300.001905, 9.999966, 162, 4268537, 4354705.2, 4355122, 4416061, 4438249, 4459489, 4459489, 0
310.001911, 10.000006, 142, 4284186, 4373851.8, 4362021, 4440556, 4474835, 4486490, 4486490, 0
320.001915, 10.000004, 138, 4283859, 4423129.7, 4408031, 4534289, 4543039, 4543081, 4543081, 0
330.001911, 9.999996, 134, 4433144, 4587156.4, 4598701, 4714912, 4727948, 4745165, 4745165, 0
340.001914, 10.000003, 151, 4519990, 4594615.6, 4584795, 4683293, 4696030, 4712822, 4712822, 0
350.001887, 9.999973, 140, 4565677, 4647873.2, 4656790, 4715930, 4727456, 4728022, 4728022, 0
360.001908, 10.000021, 138, 4458034, 4579150.0, 4583254, 4650243, 4659265, 4661722, 4661722, 0
370.001904, 9.999996, 134, 4462635, 4633911.1, 4659200, 4739418, 4742892, 4745580, 4745580, 0
380.001909, 10.000005, 131, 4651989, 4822585.9, 4816213, 4966016, 4971239, 4973000, 4973000, 0
390.001906, 9.999997, 129, 4661227, 4843763.2, 4852851, 5074010, 5080491, 5087036, 5087036, 0
400.001907, 10.000001, 130, 4821298, 4946615.5, 4951694, 5014451, 5055236, 5059396, 5059396, 0
410.001913, 10.000006, 128, 4793695, 4940611.0, 4939928, 5077622, 5085533, 5088564, 5088564, 0
420.001903, 9.99999, 125, 5022109, 5153881.0, 5153019, 5263833, 5280259, 5283858, 5283858, 0
430.001907, 10.000004, 125, 5117298, 5191518.2, 5196669, 5257809, 5269177, 5269889, 5269889, 0
440.001901, 9.999994, 124, 5100739, 5191135.6, 5183721, 5277164, 5282536, 5283178, 5283178, 0
450.001905, 10.000004, 131, 4651653, 4956850.1, 4960223, 5219099, 5248501, 5254927, 5254927, 0
460.001882, 9.999977, 123, 5069913, 5235580.9, 5208092, 5364111, 5379546, 5385016, 5385016, 0
470.001908, 10.000026, 124, 5112680, 5205182.3, 5199941, 5294694, 5362969, 5369685, 5369685, 0
480.001903, 9.999995, 121, 5147375, 5327726.5, 5323481, 5432272, 5478215, 5496760, 5496760, 0
