elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00051, 10.00051, 7341, 6080, 119622.2, 118196, 207527, 232072, 248667, 252304, 0
20.001504, 10.000994, 3302, 4784, 119607.3, 95159, 305433, 356168, 372515, 382766, 0
30.001494, 9.99999, 5374, 4464, 119118.0, 95048, 387856, 424623, 456941, 470591, 0
40.001503, 10.000009, 5264, 4464, 121138.8, 75188, 462099, 498633, 517155, 527500, 0
50.00152, 10.000017, 5348, 3865, 120076.0, 72447, 333994, 387973, 496933, 503890, 0
60.001512, 9.999992, 5305, 4962, 121056.0, 72819, 351533, 372948, 417093, 435643, 0
70.001522, 10.00001, 5256, 4854, 121659.0, 86172, 361554, 384684, 407212, 412272, 0
80.001546, 10.000024, 5441, 4888, 117747.9, 88864, 304171, 373960, 425851, 432047, 0
90.0015, 9.999954, 5344, 7692, 119098.2, 115717, 258123, 296270, 320870, 328153, 0
100.001507, 10.000007, 5299, 6109, 120868.1, 111712, 306679, 373316, 413218, 431430, 0
110.001504, 9.999997, 5376, 4616, 119049.2, 95760, 363146, 404129, 439242, 445132, 0
120.001501, 9.999997, 5404, 6027, 118913.1, 95487, 311773, 350184, 400000, 419813, 0
130.001523, 10.000022, 5373, 4311, 118822.4, 99465, 301158, 333394, 349274, 355100, 0
140.001498, 9.999975, 5266, 5131, 121376.2, 100819, 296119, 353682, 399748, 419823, 0
150.001519, 10.000021, 5429, 6454, 117341.5, 77300, 410195, 474304, 509801, 522532, 0
160.001516, 9.999997, 5359, 4513, 119246.1, 78086, 445882, 491208, 521558, 525504, 0
170.001537, 10.000021, 5356, 4303, 119319.8, 77384, 419178, 479525, 513447, 526171, 0
180.001505, 9.999968, 5278, 4363, 120967.7, 94794, 291157, 437657, 521595, 532679, 0
187.260991, 7.259486, 3885, 3260, 98320.4, 76090, 241074, 316786, 366047, 376216, 0
