elapsed, window, total, successful, failed
10.00051, 10.00051, 7341, 7341, 0
20.001504, 10.000994, 3302, 3302, 0
30.001494, 9.99999, 5374, 5374, 0
40.001503, 10.000009, 5264, 5264, 0
50.00152, 10.000017, 5348, 5348, 0
60.001512, 9.999992, 5305, 5305, 0
70.001522, 10.00001, 5256, 5256, 0
80.001546, 10.000024, 5441, 5441, 0
90.0015, 9.999954, 5344, 5344, 0
100.001507, 10.000007, 5299, 5299, 0
110.001504, 9.999997, 5376, 5376, 0
120.001501, 9.999997, 5404, 5404, 0
130.001523, 10.000022, 5373, 5373, 0
140.001498, 9.999975, 5266, 5266, 0
150.001519, 10.000021, 5429, 5429, 0
160.001516, 9.999997, 5359, 5359, 0
170.001537, 10.000021, 5356, 5356, 0
180.001505, 9.999968, 5278, 5278, 0
187.260991, 7.259486, 3885, 3885, 0
