elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000698, 10.000698, 2750, 291092, 1132027.6, 1106706, 1625928, 1730572, 1795898, 1918196, 0
50.103645, 40.102947, 72, 69433, 1074451.8, 734402, 3173368, 3590000, 3642028, 3675298, 0
60.001708, 9.898063, 564, 57065, 1112843.7, 546082, 3752708, 4195183, 4229379, 4245902, 0
70.001721, 10.000013, 571, 56319, 1088296.5, 427348, 4595237, 4971136, 5090193, 5124952, 0
80.001725, 10.000004, 572, 85983, 1100451.6, 375340, 5266646, 5638500, 5723536, 5724043, 0
90.001735, 10.00001, 573, 57082, 1097318.7, 355459, 5724043, 5799350, 5849522, 5900558, 0
100.001724, 9.999989, 574, 56504, 1102230.2, 358329, 6026417, 6307681, 6352049, 6368083, 0
110.00172, 9.999996, 560, 68120, 1103495.2, 348936, 6657324, 6945674, 6973013, 7126410, 0
120.001728, 10.000008, 569, 56343, 1139425.4, 341296, 6873335, 6981351, 7078872, 7087334, 0
130.001732, 10.000004, 570, 56129, 1108055.3, 341127, 6811312, 6981618, 6997470, 7134639, 0
140.001718, 9.999986, 579, 56437, 1089613.2, 340753, 7097127, 7205770, 7235598, 7252954, 0
150.00174, 10.000022, 572, 39447, 1049384.3, 340563, 7141424, 7202345, 7225014, 7243828, 0
160.00174, 10.0, 579, 23243, 981632.3, 306808, 7022958, 7087749, 7133705, 7168291, 0
170.001739, 9.999999, 587, 23243, 859313.6, 153525, 6385484, 6818809, 7032246, 7038402, 0
175.043213, 5.041474, 308, 21440, 600974.4, 136329, 4222824, 5956973, 6161157, 6186928, 0
