elapsed, window, total, successful, failed
10.000698, 10.000698, 2750, 2750, 0
50.103645, 40.102947, 72, 72, 0
60.001708, 9.898063, 564, 564, 0
70.001721, 10.000013, 571, 571, 0
80.001725, 10.000004, 572, 572, 0
90.001735, 10.00001, 573, 573, 0
100.001724, 9.999989, 574, 574, 0
110.00172, 9.999996, 560, 560, 0
120.001728, 10.000008, 569, 569, 0
130.001732, 10.000004, 570, 570, 0
140.001718, 9.999986, 579, 579, 0
150.00174, 10.000022, 572, 572, 0
160.00174, 10.0, 579, 579, 0
170.001739, 9.999999, 587, 587, 0
175.043213, 5.041474, 308, 308, 0
